SYSTEM Asteroid Field	;{0} Asteroid Field
GameTaskType Short RetireMultipleShips		;Retire Ships
GameTaskType Short TopupFleet		;Top up Fleet
GameTaskType Short HonorDefenseTreaty		;Honor Defense Treaty
GameTaskType Short DishonorDefenseTreaty		;Dishonor Defense Treaty
GameTaskType Short ScrapPlanetaryFacility		;Scrap {0} at {1}
GameTaskType Short SetAsFleetLeadShip		;Set Lead Ship
GameTaskType Short SetAttackRangeWeaker		;Set Attack Stance
GameTaskType Short SetAttackRangeStronger		;Set Attack Stance
GameTaskType Short SetFleetStance		;Set Attack Stance
GameTaskType Short SetFleetTemplate		;Set Fleet Template
GameTaskType Short SetArmyTemplate		;Set Army Template
GameTaskType Short SetFleetFormationCoherence		;Set Fleet Formation
GameTaskType Short SetCapital		;Set Capital
GameTaskType Short AbandonColony		;Abandon Colony
GameTaskType Short SetColonyPopulationPolicy		;Set Population Policy
GameTaskType Short SetDiplomaticStrategy		;Set Diplomatic Strategy
GameTaskType Short SetEngagementRange		;Set Engagement Range
GameTaskType Short SetFleetAttackPoint		;Set Attack Point
GameTaskType Short SetFleetHomeBase		;Set Home Base
GameTaskType Short SetFleetRetreatOverwhelmed		;Set Retreat When
GameTaskType Short SetFleetRetreatStrength		;Set Retreat Strength
GameTaskType Short SetFleetRole		;Set Fleet Role
GameTaskType Short SetInvasionTactics		;Set Invasion Tactics
GameTaskType Short SetResearchQueue		;Queue Research Project
GameTaskType Short SetShipAutomation		;Ship Automation
GameTaskType Short SetShipRetreatOptions		;Set Retreat When
GameTaskType Short SetShipRoleInFleet		;Set Position in Fleet
GameTaskType Short SetStockLevel		;Set Stock Level
GameTaskType Short SetTargetStickinessFactor		;Set Target Factor
GameTaskType Short SetTroopGarrison		;Garrison Troop
GameTaskType Short SetTroopUngarrison		;Ungarrison Troop
GameTaskType Short SetTroopGarrison Multiple		;Garrison Troops
GameTaskType Short SetTroopUngarrison Multiple		;Ungarrison Troops
GameTaskType Short TradeItems		;Accept Trade
GameTaskType Short TradeItems Offer		;Offer Trade
GameTaskType Short TransferCharacter		;Move Character
GameTaskType Short UpdateShipDesign		;Update Design
GameTaskType Short UpgradePlanetaryFacility		;Upgrade {0}

GameTaskType Short UI_LockViewOnSelected		;Lock View on Selected
GameTaskType Short UI_WeaponRangeDisplay		;Display Weapon Ranges for selected ship
GameTaskType Short UI_LocationShipSymbol		;Display ship and base symbols at location level
GameTaskType Short UI_CycleCameraMode_Default		;Camera View: Default
GameTaskType Short UI_CycleCameraMode_TopDown		;Camera View: Top Down
GameTaskType Short UI_CycleCameraMode_HighAngle		;Camera View: High Angle
GameTaskType Short UI_CycleCameraMode_LowAngle		;Camera View: Low Angle
GameTaskType Short UI_CycleCameraMode_Trailing		;Camera View: Trailing
GameTaskType Short UI_CycleCameraMode_Bridge		;Camera View: Bridge
GameTaskType Short UI_CycleCameraMode_FreeForm		;Camera View: Free Form
GameTaskType Short UI_CycleUILevel		;Cycle User Interface display level
GameTaskType Short UI_ZoomItem		;Zoom to Selected
GameTaskType Short UI_ZoomIn		;Zoom In
GameTaskType Short UI_ZoomOut		;Zoom Out
GameTaskType Short UI_ZoomLocation		;Zoom to Location level
GameTaskType Short UI_ZoomSystem		;Zoom to System level
GameTaskType Short UI_ZoomRegion		;Zoom to Region level
GameTaskType Short UI_ZoomGalaxy		;Zoom to Galaxy level
GameTaskType Short UI_MoveViewLeft		;Move View Left
GameTaskType Short UI_MoveViewRight		;Move View Right
GameTaskType Short UI_MoveViewForward		;Move View Forward
GameTaskType Short UI_MoveViewBackward		;Move View Backward
GameTaskType Short UI_CycleSelectionNext		;Next Selection History
GameTaskType Short UI_CycleSelectionPrevious		;Previous Selection History
GameTaskType Short UI_CycleColonies		;Cycle Next Colony
GameTaskType Short UI_CycleColoniesBack		;Cycle Previous Colony
GameTaskType Short UI_CycleConstructionYards		;Cycle Next Construction Yard
GameTaskType Short UI_CycleConstructionYardsBack		;Cycle Previous Construction Yard
GameTaskType Short UI_CycleConstructionShips		;Cycle Next Construction Ship
GameTaskType Short UI_CycleConstructionShipsBack		;Cycle Previous Construction Ship
GameTaskType Short UI_CycleMilitaryShips		;Cycle Next Military Ship
GameTaskType Short UI_CycleMilitaryShipsBack		;Cycle Previous Military Ship
GameTaskType Short UI_CycleExplorationShips		;Cycle Next Exploration Ship
GameTaskType Short UI_CycleExplorationShipsBack		;Cycle Previous Exploration Ship
GameTaskType Short UI_CycleFleets		;Cycle Next Fleet
GameTaskType Short UI_CycleFleetsBack		;Cycle Previous Fleet

GameTaskType Short UI_CycleIdleConstructionShips		;Cycle Next Idle Construction Ship
GameTaskType Short UI_CycleIdleConstructionShipsBack		;Cycle Previous Idle Construction Ship
GameTaskType Short UI_CycleIdleMilitaryShips		;Cycle Next Idle Military Ship
GameTaskType Short UI_CycleIdleMilitaryShipsBack		;Cycle Previous Idle Military Ship
GameTaskType Short UI_CycleIdleExplorationShips		;Cycle Next Idle Exploration Ship
GameTaskType Short UI_CycleIdleExplorationShipsBack		;Cycle Previous Idle Exploration Ship
GameTaskType Short UI_CycleIdleFleets		;Cycle Next Idle Fleet
GameTaskType Short UI_CycleIdleFleetsBack		;Cycle Previous Idle Fleet

GameTaskType Short UI_PauseResume		;Pause/Resume
GameTaskType Short UI_IncreaseGameSpeed		;Increase Game Speed
GameTaskType Short UI_DecreaseGameSpeed		;Decrease Game Speed

GameTaskType Short UI_RotateViewLeft		;Rotate View Left to nearest 45 degrees
GameTaskType Short UI_RotateViewRight		;Rotate View Right to nearest 45 degrees
GameTaskType Short UI_RotateViewLeftSmooth		;Rotate View Left
GameTaskType Short UI_RotateViewRightSmooth		;Rotate View Right

Approve		;Approve
Decline		;Decline
Show		;Show
Leave the Ruins Alone		;Leave the Ruins Alone
Leave the Base Alone		;Leave the Base Alone
Leave the Ship Alone		;Leave the Ship Alone
Show Me		;Show Me
Dismiss		;Dismiss


EmpireRelationType FirstContact		;First Contact
EmpireRelationType Defense		;Defense Pact
EmpireRelationType RestrictedTrade		;Restricted Trade Agreement
EmpireRelationType LimitedTrade		;Limited Trade Agreement
EmpireRelationType FreeTrade		;Free Trade Agreement
EmpireRelationType IntelligenceSharing		;Intelligence Sharing
EmpireRelationType Exploration		;Exploration in Territory
EmpireRelationType TerritoryMapSharing		;Territory Map Sharing
EmpireRelationType GalaxyMapSharing		;Galaxy Map Sharing
EmpireRelationType Migration		;Migration Treaty
EmpireRelationType MilitaryRefuelling		;Military Refuelling
EmpireRelationType MiningRights		;Mining Rights
EmpireRelationType PirateProtection		;Protection Agreement
EmpireRelationType NonAggression		;Non Aggression Treaty
EmpireRelationType OperationsMapSharing		;Operations Map Sharing
EmpireRelationType Research		;Research Agreement
EmpireRelationType ResourceSupply		;Resource Supply Contract
EmpireRelationType Subjugation		;Subjugated Vassal
EmpireRelationType Subjugation Detailed		;Offer to become Subjugated Vassal
EmpireRelationType War		;War
EmpireRelationType Peace		;Peace

EmpireRelationType Short FirstContact		;Contact
EmpireRelationType Short Defense		;Defense
EmpireRelationType Short RestrictedTrade		;RTA
EmpireRelationType Short LimitedTrade		;LTA
EmpireRelationType Short FreeTrade		;FTA
EmpireRelationType Short IntelligenceSharing		;Intel
EmpireRelationType Short Exploration		;Explor
EmpireRelationType Short TerritoryMapSharing		;TerrMap
EmpireRelationType Short GalaxyMapSharing		;GalMap
EmpireRelationType Short Migration		;Migrat
EmpireRelationType Short MilitaryRefuelling		;Mil Ref
EmpireRelationType Short MiningRights		;Mining
EmpireRelationType Short PirateProtection		;Protect
EmpireRelationType Short NonAggression		;NonAgg
EmpireRelationType Short OperationsMapSharing		;OpsMap
EmpireRelationType Short Research		;Research
EmpireRelationType Short ResourceSupply		;Resource
EmpireRelationType Short Subjugation		;Vassal
EmpireRelationType Short War		;War
EmpireRelationType Short Peace		;Peace

TroopType Infantry			;Infantry
TroopType Armored			;Mech
TroopType Titan				;Titan
TroopType PlanetaryDefense	;Planetary Defense
TroopType SpecialForces		;Special Forces
TroopType Raider			;Raider
TroopType Militia			;Militia

TacticsEngagementType DoNotEngage		;Do Not Engage
TacticsEngagementType EngageWhenAttacked		;Engage When Attacked
TacticsEngagementType FuelRange33		;33% of Fuel Range
TacticsEngagementType FuelRange50		;50% of Fuel Range
TacticsEngagementType Location		;Same Location
TacticsEngagementType Nearby		;Nearby
TacticsEngagementType SectorRange		;Sector range
TacticsEngagementType System		;Same System

FleetRetreatOverwhelmed EnemyStrength100		;Enemy Strength greater
FleetRetreatOverwhelmed EnemyStrength150		;Enemy Strength 50% greater
FleetRetreatOverwhelmed EnemyStrength200		;Enemy Strength 100% greater
FleetRetreatOverwhelmed EnemyStrength300		;Enemy Strength 200% greater
FleetRetreatOverwhelmed Never		;Never

FleetRetreatStrength LessThan75		;Strength below 75%
FleetRetreatStrength LessThan66		;Strength below 66%
FleetRetreatStrength LessThan50		;Strength below 50%
FleetRetreatStrength LessThan33		;Strength below 33%
FleetRetreatStrength LessThan25		;Strength below 25%
FleetRetreatStrength Never		;Never

FleetRole Attack		;Attack
FleetRole Defend		;Defend
FleetRole Raid		;Raid
FleetRole Invade		;Invade
FleetRole Manual		;Manual

TacticsInvasion InvadeImmediately		;Immediately
TacticsInvasion InvadeWhenClear		;When Clear
TacticsInvasion NeverInvade		;Never

TacticsRetreatType EnemyNearby		;Enemy Nearby
TacticsRetreatType EnemySightedLocation		;Enemy at same Location
TacticsRetreatType EnemySightedSystem		;Enemy in same System
TacticsRetreatType Never		;Never
TacticsRetreatType Shields20OrArmor50		;Shields below 20% or Armor below 50%
TacticsRetreatType Shields50OrArmor99		;Shields below 50% or any Armor damage
TacticsRetreatType NonDefenseComponentDestroyedOrDamaged1		;Any non-defense component damaged
TacticsRetreatType NonDefenseComponentDestroyedOrDamaged20		;20% of non-defense components damaged
TacticsRetreatType NonDefenseComponentDestroyedOrDamaged50		;50% of non-defense components damaged
TacticsRetreatType WhenAttacked		;When Attacked

TacticsRoleWithinFleet Attack		;Core
TacticsRoleWithinFleet CloseEscort		;Close Escort
TacticsRoleWithinFleet Picket		;Picket

No buildable facilities		;No buildable facilities

Another empire has already built a base here		;Another empire has already built a base here
Already have a base of this type here		;Already have a base of this type here
Location is in another empires territory		;Location is in another empires territory
No scenery bonus here		;No scenery bonus here
No research bonuses here		;No research bonuses here
Construction Ship already building here		;Construction Ship '{0}' already building {1} here
Colony Ship already colonizing here		;Colony Ship '{0}' already colonizing here
Already have a facility of this type here		;Already have a facility of this type here
Planetary Facility Family Exclusive Explanation		;Can only build ONE of the following facilities at a colony: {0}.\nBuilding any one of these will prevent the others from being built
Can only build X of these facilities in your empire		;Can only build {0} of these facilities in your empire
Can only build X of these facilities in the galaxy		;Can only build {0} of these facilities in the galaxy
Cannot build this facility at this planet type		;Cannot build this facility at this planet type
We have the wrong government to build this facility		;We have the wrong government to build this facility
Cannot afford the cost to build this facility		;Cannot afford the cost to build this facility
Already retrofitting		;Already retrofitting
Already using latest design		;Already using latest design
All Ships already using latest design		;All ships are already using the latest design
No construction yard available		;No construction yard available
No construction yard available with sufficient resources		;No construction yard available with sufficient resources
Cannot retrofit until current construction finished		;Cannot retrofit until current construction finished
No ships need retrofitting		;No ships need retrofitting
No fleets to join		;No fleets to join
Cannot afford recruitment cost for this troop		;Cannot afford recruitment cost for this troop
Already lead ship for fleet		;Already lead ship for fleet
No X available for launch		;No {0}s available for launch
No X available for returning		;No {0}s available for returning
No refuel location available		;No refuel location available
No repair location available		;No repair location available
Cannot afford to build		;Cannot afford to build
Missing resources X		;Missing resources: {0}
Tax rate already zero		;Tax rate already zero
Tax rate already at maximum		;Tax rate already at maximum
Suitability With Race		;Colonize with {0}, Suitability: {1}
Suitability		;Suitability
Suitability X		;Suitability {0}
Colonization Suitability		;Colonization Suitability
No race can colonize		;No race can colonize
Can colonize with SHIP containing RACE		;Can colonize with Colony Ship '{0}' containing {1}s
Unknown		;Unknown
Unknown X		;Unknown {0}
Unknown mission		;Unknown mission
Click for options		;Click for options
Troops must be at a colony to be garrisoned		;Troops must be at a colony to be garrisoned
Click for detailed approval breakdown		;Click for detailed approval breakdown

Queued for colonization		;Queued for colonization
BASEROLE queued to build here		;{0} queued to build here
SHIP colonizing here		;{0} colonizing here
SHIP building BASEROLE here		;{0} building {1} here
Already at start		;Already at start
Already at end		;Already at end
Move SHIP up construction wait queue		;Move {0} up construction wait queue
Move SHIP down construction wait queue		;Move {0} down construction wait queue
Move SHIP to top of construction wait queue		;Move {0} to start of construction wait queue
Move ITEM up queue		;Move {0} up queue
Move ITEM down queue		;Move {0} down queue
Move ITEM to top of queue		;Move {0} to start of queue

AreaShieldRechargeAmount		;Max Recharge Amount
